id,afip_code
product.product_uom_cm,20
product.product_uom_day,98
product.product_uom_dozen,09
product.product_uom_floz,98
product.product_uom_foot,98
product.product_uom_gram,14
product.product_uom_gal,98
product.product_uom_hour,98
product.product_uom_inch,98
product.product_uom_kgm,01
product.product_uom_km,17
product.product_uom_lb,98
product.product_uom_litre,05
product.product_uom_meter,02
product.product_uom_mile,98
product.product_uom_oz,98
product.product_uom_qt,98
product.product_uom_ton,29
product.product_uom_unit,07
