id,afip_code
base.af,
base.ax,
base.al,401
base.dz,
base.as,
base.ad,
base.ao,149
base.ai,
base.aq,
base.ag,
base.ar,200
base.am,349
base.aw,242
base.au,501
base.at,405
base.az,350
base.bs,239
base.bh,
base.bd,345
base.bb,201
base.by,
base.be,
base.bz,
base.bj,
base.bm,
base.bt,
base.bo,202
base.bq,
base.ba,
base.bw,
base.bv,
base.br,
base.io,
base.bn,
base.bg,407
base.bf,
base.bi,
base.kh,
base.cm,
base.ca,204
base.cv,
base.ky,
base.cf,
base.td,
base.cl,208
base.cn,310
base.cx,
base.cc,
base.co,205
base.km,
base.cg,
base.cd,
base.ck,
base.cr,206
base.hr,
base.cu,207
base.cw,
base.cy,
base.cz,
base.dk,
base.dj,
base.dm,233
base.do,
base.tp,
base.ec,210
base.eg,
base.sv,211
base.gq,
base.er,
base.ee,440
base.et,
base.fk,
base.fo,
base.fj,
base.fi,
base.fr,
base.gf,
base.tf,
base.ga,
base.gm,
base.ge,351
base.de,
base.gh,
base.gi,
base.gr,
base.gl,
base.gd,
base.gp,
base.gu,
base.gt,
base.gg,
base.gn,
base.gw,
base.gy,
base.ht,
base.hm,
base.va,
base.hn,
base.hk,341
base.hu,
base.is,
base.in,315
base.id,316
base.ir,318
base.iq,
base.ie,
base.im,
base.il,319
base.it,
base.ci,
base.jm,
base.jp,
base.je,
base.jo,
base.kz,
base.ke,
base.ki,
base.kw,323
base.kg,
base.la,324
base.lv,
base.lb,
base.ls,
base.lr,
base.ly,
base.li,418
base.lt,
base.lu,
base.mo,
base.mk,
base.mg,
base.mw,
base.my,
base.mv,
base.ml,
base.mt,420
base.mh,
base.mq,
base.mr,
base.mu,
base.yt,
base.mx,
base.fm,
base.md,443
base.mc,421
base.mn,329
base.me,453
base.ms,
base.ma,
base.mz,
base.mm,
base.na,
base.nr,503
base.np,330
base.nl,
base.an,
base.nt,
base.nc,
base.nz,
base.ni,
base.ne,
base.ng,
base.nu,
base.nf,
base.mp,
base.kp,
base.no,
base.om,
base.pk,
base.pw,516
base.ps,
base.pa,
base.pg,
base.py,
base.pe,
base.ph,
base.pn,
base.pl,
base.pf,
base.pt,425
base.pr,
base.qa,
base.re,
base.ro,
base.ru,
base.rw,
base.bl,
base.sh,
base.kn,
base.lc,
base.mf,
base.pm,
base.st,
base.vc,
base.ws,
base.sm,428
base.sa,
base.sn,
base.rs,454
base.sc,
base.sl,
base.sg,
base.sx,
base.sk,
base.si,
base.sb,
base.so,
base.za,
base.gs,
base.kr,
base.ss,
base.es,
base.lk,
base.sd,
base.sr,
base.sj,
base.sz,
base.se,
base.ch,
base.sy,
base.tw,
base.tj,
base.tz,
base.th,
base.tg,
base.tk,699
base.to,519
base.tt,
base.tn,
base.tr,
base.tm,
base.tc,
base.tv,517
base.ug,
base.ua,
base.ae,
base.uk,
base.us,
base.uy,225
base.um,
base.uz,
base.vu,
base.ve,
base.vn,
base.vg,
base.vi,
base.wf,
base.eh,
base.ye,
base.yu,
base.zr,
base.zm,
base.zw,
