id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_afip_responsability_type_manager,afip.responsability.type.manager,model_afip_responsability_type,account.group_account_manager,1,1,1,1
access_afip_responsability_type_user,afip.responsability.type.all,model_afip_responsability_type,,1,0,0,0
access_account_document_letter_adviser,account.document.letter.adviser,model_account_document_letter,account.group_account_manager,1,1,1,1
access_account_document_letter_all,account.document.letter.all,model_account_document_letter,,1,0,0,0
access_afip_incoterm_manager,afip.incoterm.manager,model_afip_incoterm,account.group_account_manager,1,1,1,1
access_afip_incoterm_all,afip.incoterm.all,model_afip_incoterm,,1,0,0,0
account_invoice_line_report,account.invoice.line.report,model_account_invoice_line_report,account.group_account_invoice,1,0,0,0
access_afip_vat_f2002_category,access_afip_vat_f2002_category,model_afip_vat_f2002_category,,1,0,0,0
access_account_ar_vat_line,access_account_ar_vat_line,model_account_ar_vat_line,account.group_account_user,1,0,0,0
access_afip_concept_manager,access_afip_concept_manager,model_afip_concept,account.group_account_manager,1,1,1,1
access_afip_tax_manager,access_afip_tax_manager,model_afip_tax,account.group_account_manager,1,1,1,1
access_afip_activity_manager,access_afip_activity_manager,model_afip_activity,account.group_account_manager,1,1,1,1
access_afip_activity_all,access_afip_activity_all,model_afip_activity,,1,0,0,0
access_afip_concept_all,access_afip_concept_all,model_afip_concept,,1,0,0,0
access_afip_tax_all,access_afip_tax_all,model_afip_tax,,1,0,0,0
