id,afip_code,name,document_letter_id/id,report_name,document_type,doc_code_prefix
dc_a_f,1,FACTURAS A,dl_a,FACTURA,invoice,FA-A 
dc_a_nd,2,NOTAS DE DEBITO A,dl_a,NOTA DE DEBITO,debit_note,ND-A 
dc_a_nc,3,NOTAS DE CREDITO A,dl_a,NOTA DE CREDITO,credit_note,NC-A 
dc_a_r,4,RECIBOS A,dl_a,RECIBO,receipt_invoice,RE-A 
dc_a_nvc,5,NOTAS DE VENTA AL CONTADO A,dl_a,,,
dc_b_f,6,FACTURAS B,dl_b,FACTURA,invoice,FA-B 
dc_b_nd,7,NOTAS DE DEBITO B,dl_b,NOTA DE DEBITO,debit_note,ND-B 
dc_b_nc,8,NOTAS DE CREDITO B,dl_b,NOTA DE CREDITO,credit_note,NC-B 
dc_b_r,9,RECIBOS B,dl_b,,receipt_invoice,RE-B 
dc_b_nvc,10,NOTAS DE VENTA AL CONTADO B,dl_b,,,
dc_c_f,11,FACTURAS C,dl_c,FACTURA,invoice,FA-C 
dc_c_nd,12,NOTAS DE DEBITO C,dl_c,NOTA DE DEBITO,debit_note,ND-C 
dc_c_nc,13,NOTAS DE CREDITO C,dl_c,NOTA DE CREDITO,credit_note,NC-C 
dc_aduana,14,DOCUMENTO ADUANERO,,,,
dc_c_r,15,RECIBOS C,dl_c,RECIBO,receipt_invoice,RE-C 
dc_c_nvc,16,NOTAS DE VENTA AL CONTADO C,dl_c,,,
dc_e_f,19,FACTURAS DE EXPORTACION,dl_e,FACTURA,invoice,FA-E 
dc_e_nd,20,NOTAS DE DEBITO POR OPERACIONES CON EL EXTERIOR,dl_e,NOTA DE DEBITO,debit_note,ND-E 
dc_e_nc,21,NOTAS DE CREDITO POR OPERACIONES CON EL EXTERIOR,dl_e,NOTA DE CREDITO,credit_note,NC-E 
dc_e_fs,22,FACTURAS - PERMISO EXPORTACION SIMPLIFICADO - DTO. 855/97,,,,
dc_usados,30,COMPROBANTES DE COMPRA DE BIENES USADOS,,,,
dc_mandato,31,MANDATO - CONSIGNACION,,,,
dc_reciclado,32,COMPROBANTES PARA RECICLAR MATERIALES,,,,
dc_a_rg1415,34,COMPROBANTES A DEL APARTADO A  INCISO F  R G  N  1415,dl_a,,,
dc_b_rg1415,35,"COMPROBANTES B DEL ANEXO I, APARTADO A, INC. F), RG N° 1415",dl_b,,,
dc_c_rg1415,36,"COMPROBANTES C DEL Anexo I, Apartado A, INC.F), R.G. N° 1415",dl_c,,,
dc_nd_rg1415,37,NOTAS DE DEBITO O DOCUMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415,,,,
dc_nc_rg1415,38,NOTAS DE CREDITO O DOCMENTO EQUIVALENTE QUE CUMPLAN CON LA R.G. N° 1415,,,,
dc_a_o_rg1415,39,OTROS COMPROBANTES A QUE CUMPLEN CON LA R G  1415,dl_a,,,
dc_b_o_rg1415,40,OTROS COMPROBANTES B QUE CUMPLAN CON LA R.G. N° 1415,dl_b,,,
dc_c_o_rg1415,41,OTROS COMPROBANTES C QUE CUMPLAN CON LA R.G. N° 1415,dl_c,,,
dc_a_rf,50,RECIBO FACTURA A  REGIMEN DE FACTURA DE CREDITO,dl_a,,,
dc_m_f,51,FACTURAS M,dl_m,FACTURA,invoice,FA-M 
dc_m_nd,52,NOTAS DE DEBITO M,dl_m,NOTA DE DEBITO,debit_note,ND-C 
dc_m_nc,53,NOTAS DE CREDITO M,dl_m,NOTA DE CREDITO,credit_note,NC-C 
dc_m_r,54,RECIBOS M,dl_m,RECIBO,receipt_invoice,RE-M 
dc_m_nvc,55,NOTAS DE VENTA AL CONTADO M,dl_m,,,
dc_m_rg1415,56,COMPROBANTES M DEL ANEXO I  APARTADO A  INC F   R G  N  1415,dl_m,,,
dc_m_o_rg1415,57,OTROS COMPROBANTES M QUE CUMPLAN CON LA R G  N  1415,dl_m,,,
dc_m_cvl,58,CUENTAS DE VENTA Y LIQUIDO PRODUCTO M,dl_m,,,
dc_m_l,59,LIQUIDACIONES M,dl_m,,,
dc_a_cvl,60,CUENTAS DE VENTA Y LIQUIDO PRODUCTO A,dl_a,,,
dc_b_cvl,61,CUENTAS DE VENTA Y LIQUIDO PRODUCTO B,dl_b,,,
dc_a_l,63,LIQUIDACIONES A,dl_a,,,
dc_b_l,64,LIQUIDACIONES B,dl_b,,,
dc_nc,65,"NOTAS DE CREDITO DE COMPROBANTES CON COD. 34, 39, 58, 59, 60, 63, 96, 97,",,,,
dc_desp_imp,66,DESPACHO DE IMPORTACION,,,in_document,
dc_imp_serv,67,IMPORTACION DE SERVICIOS,,,in_document,
dc_c_l,68,LIQUIDACION C,dl_c,,,
dc_rfc,70,RECIBOS FACTURA DE CREDITO,,,,
dc_cfcp,71,CREDITO FISCAL POR CONTRIBUCIONES PATRONALES,,,,
dc_f1116,73,FORMULARIO 1116 RT,,,,
dc_cptag,74,CARTA DE PORTE PARA EL TRANSPORTE AUTOMOTOR PARA GRANOS,,,,
dc_cptfg,75,CARTA DE PORTE PARA EL TRANSPORTE FERROVIARIO PARA GRANOS,,,,
dc_zeta,80,COMPROBANTE DIARIO DE CIERRE (ZETA),,,,
dc_a_t,81,TIQUE FACTURA A   CONTROLADORES FISCALES,dl_a,,ticket,
dc_b_t,82,TIQUE - FACTURA B,dl_b,,ticket,
dc_t,83,TIQUE,dl_x,,ticket,
dc_sp_c,84,COMPROBANTE   FACTURA DE SERVICIOS PUBLICOS   INTERESES FINANCIEROS,,,,
dc_sp_nc,85,NOTA DE CREDITO   SERVICIOS PUBLICOS   NOTA DE CREDITO CONTROLADORES FISCALES,,,,
