id,code,name
l10n_ar_ux.afip_activity_0,0,ACTIVIDADES NO CLASIFICADAS EN OTRA PARTE
l10n_ar_ux.afip_activity_7,7,JUBILADO
l10n_ar_ux.afip_activity_8,8,ESTUDIANTE
l10n_ar_ux.afip_activity_9,9,AMA DE CASA
l10n_ar_ux.afip_activity_10,10,EX - AGENTE DE LA ADM. PUBLILCA
l10n_ar_ux.afip_activity_11,11,TRABAJADOR RELAC. DEPENDENCIA
l10n_ar_ux.afip_activity_12,12,SIN ACTIVIDAD ECONOMICA
l10n_ar_ux.afip_activity_13,13,AGRICULTURA FAMILIAR
l10n_ar_ux.afip_activity_11111,11111,CULTIVO DE ARROZ
l10n_ar_ux.afip_activity_11112,11112,CULTIVO DE TRIGO
l10n_ar_ux.afip_activity_11119,11119,CULTIVO DE CEREALES N.C.P., EXCEPTO LOS DE USO FORRAJERO
l10n_ar_ux.afip_activity_11121,11121,CULTIVO DE MAÍZ
l10n_ar_ux.afip_activity_11122,11122,CULTIVO DE SORGO GRANIFERO
l10n_ar_ux.afip_activity_11129,11129,CULTIVO DE CEREALES DE USO FORRAJERO N.C.P.
l10n_ar_ux.afip_activity_11130,11130,CULTIVO DE PASTOS DE USO FORRAJERO
l10n_ar_ux.afip_activity_11131,11131,CULTIVO DE SOJA
l10n_ar_ux.afip_activity_11132,11132,CULTIVO DE GIRASOL
l10n_ar_ux.afip_activity_11139,11139,CULTIVO DE OLEAGINOSAS N.C.P.
l10n_ar_ux.afip_activity_11140,11140,CULTIVO DE PASTOS FORRAJEROS
l10n_ar_ux.afip_activity_11210,11210,CULTIVO DE PAPA,BATATA Y MANDIOCA
l10n_ar_ux.afip_activity_11211,11211,CULTIVO DE SOJA
l10n_ar_ux.afip_activity_11221,11221,CULTIVO DE TOMATE
l10n_ar_ux.afip_activity_11229,11229,CULTIVO DE BULBOS,BROTES,RAICES Y HORTALIZAS DE FRUTOS N.C.P.
l10n_ar_ux.afip_activity_11230,11230,CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS
l10n_ar_ux.afip_activity_11241,11241,CULTIVO DE LEGUMBRES FRESCAS
l10n_ar_ux.afip_activity_11242,11242,CULTIVO DE LEGUMBRES SECAS
l10n_ar_ux.afip_activity_11251,11251,CULTIVO DE FLORES
l10n_ar_ux.afip_activity_11252,11252,CULTIVO DE PLANTAS ORNAMENTALES
l10n_ar_ux.afip_activity_11291,11291,CULTIVO DE GIRASOL
l10n_ar_ux.afip_activity_11299,11299,CULTIVO DE OLEAGINOSAS N.C.P. EXCEPTO SOJA Y GIRASOL
l10n_ar_ux.afip_activity_11310,11310,CULTIVO DE PAPA, BATATA Y MANDIOCA
l10n_ar_ux.afip_activity_11311,11311,CULTIVO DE MANZANA Y PERA
l10n_ar_ux.afip_activity_11319,11319,CULTIVO DE FRUTAS DE PEPITA N.C.P.
l10n_ar_ux.afip_activity_11320,11320,CULTIVO DE FRUTAS DE CAROZO
l10n_ar_ux.afip_activity_11321,11321,CULTIVO DE TOMATE
l10n_ar_ux.afip_activity_11329,11329,CULTIVO DE BULBOS, BROTES, RAÍCES Y HORTALIZAS DE FRUTO N.C.P.
l10n_ar_ux.afip_activity_11330,11330,CULTIVO DE FRUTAS CITRICAS
l10n_ar_ux.afip_activity_11331,11331,CULTIVO DE HORTALIZAS DE HOJA Y DE OTRAS HORTALIZAS FRESCAS
l10n_ar_ux.afip_activity_11340,11340,CULTIVO DE NUECES Y FRUTAS SECAS
l10n_ar_ux.afip_activity_11341,11341,CULTIVO DE LEGUMBRES FRESCAS
l10n_ar_ux.afip_activity_11342,11342,CULTIVO DE LEGUMBRES SECAS
l10n_ar_ux.afip_activity_11390,11390,CULTIVO DE FRUTAS N.C.P.
l10n_ar_ux.afip_activity_11400,11400,CULTIVO DE TABACO
l10n_ar_ux.afip_activity_11411,11411,CULTIVO DE ALGODON
l10n_ar_ux.afip_activity_11419,11419,CULTIVO DE PLANTAS PARA LA OBTENCION DE FIBRAS N.C.P.
l10n_ar_ux.afip_activity_11421,11421,CULTIVO DE CAÑA DE AZUCAR
l10n_ar_ux.afip_activity_11429,11429,CULTIVO DE PLANTAS SACARIFERAS N.C.P.
l10n_ar_ux.afip_activity_11430,11430,CULTIVO DE VID PARA VINIFICAR
l10n_ar_ux.afip_activity_11440,11440,CULTIVO DE TE,YERBA MATE Y OTRAS PLANTAS CUYAS HOJAS SE UTILIZAN PARA PREPARAR BEBIDAS
l10n_ar_ux.afip_activity_11450,11450,CULTIVO DE TABACO
l10n_ar_ux.afip_activity_11460,11460,CULTIVO DE ESPECIAS
l10n_ar_ux.afip_activity_11490,11490,CULTIVOS INDUSTRIALES N.C.P.
l10n_ar_ux.afip_activity_11501,11501,CULTIVO DE ALGODÓN
l10n_ar_ux.afip_activity_11509,11509,CULTIVO DE PLANTAS PARA LA OBTENCIÓN DE FIBRAS N.C.P.
l10n_ar_ux.afip_activity_11511,11511,PRODUCCION DE SEMILLAS HIBRIDAS DE CEREALES Y OLEAGINOSAS
l10n_ar_ux.afip_activity_11512,11512,PRODUCCION DE SEMILLAS VARIETALES O AUTOFECUNDADAS DE CEREALES,OLEAGINOSAS,Y FORRAJERAS
l10n_ar_ux.afip_activity_11513,11513,PRODUCCION DE SEMILLAS DE HORTALIZAS Y LEGUMBRES,FLORES Y PLANTAS ORNAMENTALES Y ARBOLES FRUTALES
l10n_ar_ux.afip_activity_11519,11519,PRODUCCION DE SEMILLAS DE CULTIVOS AGRICOLAS N.C.P.
l10n_ar_ux.afip_activity_11520,11520,PRODUCCION DE OTRAS FORMAS DE PROPAGACION DE CULTIVOS AGRICOLAS
l10n_ar_ux.afip_activity_11911,11911,CULTIVO DE FLORES
l10n_ar_ux.afip_activity_11912,11912,CULTIVO DE PLANTAS ORNAMENTALES
l10n_ar_ux.afip_activity_11990,11990,CULTIVOS TEMPORALES N.C.P.
l10n_ar_ux.afip_activity_12110,12110,CULTIVO DE VID PARA VINIFICAR
l10n_ar_ux.afip_activity_12111,12111,CRIA DE GANADO BOVINO -EXCEPTO EN CABAÑAS Y PARA LA PRODUCCION DE LECHE-
l10n_ar_ux.afip_activity_12112,12112,INVERNADA DE GANADO BOVINO EXCEPTO EL ENGORDE EN CORRALES
l10n_ar_ux.afip_activity_12113,12113,ENGORDE EN CORRALES
l10n_ar_ux.afip_activity_12120,12120,CRIA DE GANADO OVINO,EXCEPTO EN CABAÑAS Y PARA LA PRODUCCION DE LANA
l10n_ar_ux.afip_activity_12121,12121,CULTIVO DE UVA DE MESA
l10n_ar_ux.afip_activity_12130,12130,CRIA DE GANADO PORCINO,EXCEPTO EN CABAÑAS
l10n_ar_ux.afip_activity_12140,12140,CRIA DE GANADO EQUINO,EXCEPTO EN HARAS
l10n_ar_ux.afip_activity_12150,12150,CRIA DE GANADO CAPRINO,EXCEPTO EN CABAÑAS Y PARA PRODUCCION DE LECHE
l10n_ar_ux.afip_activity_12161,12161,CRIA DE GANADO BOVINO EN CABAÑAS
l10n_ar_ux.afip_activity_12162,12162,CRIA DE GANADO OVINO,PORCINO Y CAPRINO EN CABAÑAS
l10n_ar_ux.afip_activity_12163,12163,CRIA DE GANADO EQUINO EN HARAS
l10n_ar_ux.afip_activity_12169,12169,CRIA EN CABAÑAS DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12171,12171,PRODUCCION DE LECHE DE GANADO BOVINO
l10n_ar_ux.afip_activity_12179,12179,PRODUCCION DE LECHE DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12181,12181,PRODUCCION DE LANA
l10n_ar_ux.afip_activity_12182,12182,PRODUCCION DE PELOS
l10n_ar_ux.afip_activity_12190,12190,CRIA DE GANADO N.C.P.
l10n_ar_ux.afip_activity_12200,12200,CULTIVO DE FRUTAS CÍTRICAS
l10n_ar_ux.afip_activity_12211,12211,CRIA DE AVES PARA PRODUCCION DE CARNE
l10n_ar_ux.afip_activity_12212,12212,CRIA DE AVES PARA PRODUCCION DE HUEVOS
l10n_ar_ux.afip_activity_12220,12220,PRODUCCION DE HUEVOS
l10n_ar_ux.afip_activity_12230,12230,APICULTURA
l10n_ar_ux.afip_activity_12241,12241,CRIA DE ANIMALES PARA LA OBTENCION DE PIELES Y CUEROS
