id,code,name
l10n_ar_ux.afip_tax_3,3,INFORMACION NO TRIBUTARIA
l10n_ar_ux.afip_tax_4,4,INSCRIPCIÓN DE SOCIEDADES RNS
l10n_ar_ux.afip_tax_5,5,DDJJ INEXISTENCIA DEUDA RNSS
l10n_ar_ux.afip_tax_6,6,F.8102 - APLIC. PERCEP CPRAS E
l10n_ar_ux.afip_tax_7,7,PENALIDADES RENDITA Y ACRETA
l10n_ar_ux.afip_tax_10,10,GANANCIAS SOCIEDADES
l10n_ar_ux.afip_tax_11,11,GANANCIAS PERSONAS FISICAS
l10n_ar_ux.afip_tax_14,14,PRECIOS DE TRANSFERENCIA
l10n_ar_ux.afip_tax_15,15,EMERGENCIA SOBRE ALTAS RENTAS
l10n_ar_ux.afip_tax_20,20,MONOTRIBUTO
l10n_ar_ux.afip_tax_21,21,MONOTRIBUTO AUTONOMO
l10n_ar_ux.afip_tax_25,25,GANANCIA MINIMA PRESUNTA
l10n_ar_ux.afip_tax_26,26,INT.PAG.Y COSTO FINAN.ENDEUDAM
l10n_ar_ux.afip_tax_27,27,PATRIMONIO NETO
l10n_ar_ux.afip_tax_28,28,SEGURO DE VIDA COLECTIVO
l10n_ar_ux.afip_tax_30,30,IVA
l10n_ar_ux.afip_tax_35,35,PRESENT.ESPONTANEA DTO.935/97
l10n_ar_ux.afip_tax_36,36,REG.INF.INGRESOS-EGRESOSRG1242
l10n_ar_ux.afip_tax_37,37,GARANTIAS
l10n_ar_ux.afip_tax_38,38,FACILIDADES DE PAGO DTO.938/97
l10n_ar_ux.afip_tax_39,39,MULTAS INFRACCIONES FORMALES
l10n_ar_ux.afip_tax_48,48,HONORARIOS AGENTES FISCALES
l10n_ar_ux.afip_tax_49,49,HONORARIOS DE REPRES.DEL FISCO
l10n_ar_ux.afip_tax_50,50,REG.FACILIDADES PAGO RG.50
l10n_ar_ux.afip_tax_51,51,REG DE FAC DE PAGO OBRAS SOCIA
l10n_ar_ux.afip_tax_52,52,TASA S/ACTUACIONES ANTE TFN
l10n_ar_ux.afip_tax_53,53,TASA REGISTRO PROPIED.INMUEBLE
l10n_ar_ux.afip_tax_55,55,SELLOS LEY 18524
l10n_ar_ux.afip_tax_57,57,FAC.PAGO-REG.EXCEPIRREG CONCUR
l10n_ar_ux.afip_tax_58,58,FAC.PAGO-REG.EXCEPIRREG FALLID
l10n_ar_ux.afip_tax_59,59,FAC.PAG.REG.EXCEP.DEUD.QUIROG.
l10n_ar_ux.afip_tax_60,60,FAC PAGO DTO 93/2000
l10n_ar_ux.afip_tax_61,61,DECRETO 93/00 DEUDA CONCURSADA
l10n_ar_ux.afip_tax_65,65,EMERG.AUTOMOTORES
l10n_ar_ux.afip_tax_66,66,EXTERIORIZACIÓN - LEY 26.476
l10n_ar_ux.afip_tax_74,74,F.PAG.RG.896-REG.GRAL.
l10n_ar_ux.afip_tax_75,75,F.PAG RG.896-REG.EXC.PL.REG.
l10n_ar_ux.afip_tax_76,76,F.PAG RG.896-REG.EXC.IRREG.
l10n_ar_ux.afip_tax_77,77,F PAGO-REG EXC REG-CONCURSADOS
l10n_ar_ux.afip_tax_78,78,FAC PAGO-REG EXC REG-FALLIDOS
l10n_ar_ux.afip_tax_79,79,REG.FAC.PAGO-MIS FACILIDADES
l10n_ar_ux.afip_tax_83,83,CERTIFICADO DE CREDITO FISCAL
l10n_ar_ux.afip_tax_85,85,CANON MENSUAL TURIVA
l10n_ar_ux.afip_tax_90,90,REPOSICIÓN DE TOKEN
l10n_ar_ux.afip_tax_91,91,COMISIONES POR SERV. DE RECA.
l10n_ar_ux.afip_tax_99,99,DEVOLUCIÓN REVERSIÓN OTROS ORG
l10n_ar_ux.afip_tax_100,100,SOLIC.COMPENSACIÓN-IMP.DE CRED
l10n_ar_ux.afip_tax_101,101,SOLICITUD DE DEVOLUCIÓN
l10n_ar_ux.afip_tax_103,103,REGIMENES DE INFORMACIÓN
l10n_ar_ux.afip_tax_104,104,RÉG.ESP.FAC.PAGO-RG, 574-RG 904
l10n_ar_ux.afip_tax_105,105,PFP-DTO.1384/01-IMPOSITIVAS
l10n_ar_ux.afip_tax_106,106,PFP-DTO.1384/01-SEG. SOCIAL
l10n_ar_ux.afip_tax_107,107,PFP-DTO.1384/01-IMPOSIT-CONCUR
l10n_ar_ux.afip_tax_108,108,PFP-DTO.1384/01-SEG.SOC.CONCUR
