"id","name","code","description"
"ws_valid","Validado","00","Sin errores"
"ws_ale_01","Alerta 01","01","La CUIT informada no corresponde a un responsable inscripto en el iva activo"
"ws_err_02","Error 02","02","La CUIT informada no se encuentra autorizada a emitir comprobantes electrónicos originales o el periodo de inicio autorizado es posterior al de la generacion de la solicitud"
"ws_err_03","Error 03","03","La CUIT informada registra inconvenientes con el domicilio fiscal"
"ws_err_04","Error 04","04","El punto de venta informado no se encuentra declarado para ser utilizado en el presente regimen"
"ws_err_05","Error 05","05","La fecha del comprobante indicada no puede ser anterior en mas de cinco dias, si se trata de una venta, o anterior o posterior en mas de diez dias, si se trata de una prestacion de servicios, consecutivos de la fecha de remision del archivo art. 22 de la RG nro 2177-"
"ws_err_06","Error 06","06","La CUIT informada no se encuentra autorizada a emitir comprobantes clase 'A'"
"ws_err_07","Error 07","07","Para la clase de comprobante solicitado -comprobante clase A- debera consignar en el campo codigo de documento identificatorio del comprador el codigo 80 (CUIT)"
"ws_err_08","Error 08","08","La CUIT indicada en el campo nro de identificacion del comprador es invalida"
"ws_err_09","Error 09","09","La CUIT indicada en el campo nro de identificacion del comprador no existe en el padron unico de contribuyentes"
"ws_err_10","Error 10","10","La CUIT indicada en el campo nro de identificacion del comprador no corresponde a un responsable inscripto en el iva activo"
"ws_err_11","Error 11","11","El nro de comprobante desde informado no es correlativo al ultimo nro de comprobante registrado/hasta solicitado para ese tipo de comprobante y punto de venta"
"ws_err_12","Error 12","12","El rango informado se encuentra autorizado con anterioridad para la misma CUIT, tipo de comprobante y punto de venta"
"ws_err_13","Aviso 13","13","La CUIT indicada se encuentra comprendida en el regimen establecido por la resolucion general nro 2177 y/o en el titulo i de la resolucion general nro 1361 art. 24 de la RG nro 2177"
